iter	Passed	Remaining
0	0	70
1	1	67
2	1	61
3	2	54
4	2	53
5	3	51
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	45
12	6	44
13	7	44
14	7	44
15	8	43
16	8	42
17	9	41
18	9	41
19	10	40
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	27	21
57	28	20
58	28	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
